time,lat,lon,sst
2023-01-08,26.625,122.125,21.59
2023-01-08,26.625,122.375,21.9
2023-01-08,26.625,122.625,21.99
2023-01-08,26.625,122.875,22.05
2023-01-08,26.625,123.125,22.17
2023-01-08,26.625,123.375,22.25
2023-01-08,26.625,123.625,22.15
2023-01-08,26.625,123.875,22.02
2023-01-08,26.875,122.125,21.029999
2023-01-08,26.875,122.375,21.199999
2023-01-08,26.875,122.625,21.1
2023-01-08,26.875,122.875,21.029999
2023-01-08,26.875,123.125,21.109999
2023-01-08,26.875,123.375,21.22
2023-01-08,26.875,123.625,21.22
2023-01-08,26.875,123.875,21.21
2023-01-09,25.125,122.125,23.55
2023-01-09,25.125,122.375,24.369999
2023-01-09,25.125,122.625,24.83
2023-01-09,25.125,122.875,24.699999
2023-01-09,25.125,123.125,24.38
2023-01-09,25.125,123.375,24.08
2023-01-09,25.125,123.625,23.84
2023-01-09,25.125,123.875,23.619999
2023-01-09,25.375,122.125,23.17
2023-01-09,25.375,122.375,24.22
2023-01-09,25.375,122.625,24.869999
2023-01-09,25.375,122.875,24.85
2023-01-09,25.375,123.125,24.619999
2023-01-09,25.375,123.375,24.41
2023-01-09,25.375,123.625,24.16
2023-01-09,25.375,123.875,23.939999
2023-01-09,25.625,122.125,23.269999
2023-01-09,25.625,122.375,24.269999
2023-01-09,25.625,122.625,24.83
2023-01-09,25.625,122.875,24.89
2023-01-09,25.625,123.125,24.73
2023-01-09,25.625,123.375,24.58
2023-01-09,25.625,123.625,24.41
2023-01-09,25.625,123.875,24.199999
2023-01-09,25.875,122.125,23.3
2023-01-09,25.875,122.375,24.13
2023-01-09,25.875,122.625,24.64
2023-01-09,25.875,122.875,24.789999
2023-01-09,25.875,123.125,24.76
2023-01-09,25.875,123.375,24.63
2023-01-09,25.875,123.625,24.46
2023-01-09,25.875,123.875,24.24
2023-01-09,26.125,122.125,23.01
2023-01-09,26.125,122.375,23.699999
2023-01-09,26.125,122.625,24.119999
2023-01-09,26.125,122.875,24.31
2023-01-09,26.125,123.125,24.359999
2023-01-09,26.125,123.375,24.3
2023-01-09,26.125,123.625,24.1
2023-01-09,26.125,123.875,23.82
2023-01-09,26.375,122.125,22.4
2023-01-09,26.375,122.375,22.89
2023-01-09,26.375,122.625,23.17
2023-01-09,26.375,122.875,23.359999
2023-01-09,26.375,123.125,23.47
2023-01-09,26.375,123.375,23.439999
2023-01-09,26.375,123.625,23.279999
